"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102572, SEN S/N: 20102572)","Coupler Detached (LGR S/N: 20102572)","Coupler Attached (LGR S/N: 20102572)","Host Connected (LGR S/N: 20102572)","End Of File (LGR S/N: 20102572)"
1,03/16/23 03:47:33 PM,0.000,,,,
2,03/16/23 03:47:48 PM,,Logged,,,
3,03/17/23 12:56:46 AM,0.254,,,,
4,03/17/23 12:57:51 AM,0.508,,,,
5,03/17/23 12:58:21 AM,0.762,,,,
6,03/17/23 12:58:49 AM,1.016,,,,
7,03/17/23 12:59:20 AM,1.270,,,,
8,03/17/23 12:59:39 AM,1.524,,,,
9,03/17/23 12:59:59 AM,1.778,,,,
10,03/17/23 01:00:19 AM,2.032,,,,
11,03/17/23 01:00:42 AM,2.286,,,,
12,03/17/23 01:01:23 AM,2.540,,,,
13,03/17/23 01:07:24 AM,2.794,,,,
14,03/17/23 03:05:32 AM,3.048,,,,
15,03/25/23 12:07:17 PM,3.302,,,,
16,03/27/23 02:46:25 AM,3.556,,,,
17,03/27/23 02:52:47 AM,3.810,,,,
18,03/27/23 03:02:20 AM,4.064,,,,
19,03/27/23 03:51:28 AM,4.318,,,,
20,03/27/23 03:53:59 AM,4.572,,,,
21,03/27/23 03:55:42 AM,4.826,,,,
22,03/27/23 04:00:28 AM,5.080,,,,
23,03/27/23 04:02:37 AM,5.334,,,,
24,03/27/23 04:08:46 AM,5.588,,,,
25,03/27/23 04:15:01 AM,5.842,,,,
26,03/27/23 04:27:42 AM,6.096,,,,
27,03/27/23 04:29:01 AM,6.350,,,,
28,03/27/23 04:29:19 AM,6.604,,,,
29,03/27/23 04:29:34 AM,6.858,,,,
30,03/27/23 04:29:51 AM,7.112,,,,
31,03/27/23 04:30:50 AM,7.366,,,,
32,03/27/23 04:33:25 AM,7.620,,,,
33,03/27/23 04:34:52 AM,7.874,,,,
34,03/27/23 05:09:29 AM,8.128,,,,
35,03/27/23 05:10:51 AM,8.382,,,,
36,03/27/23 05:11:10 AM,8.636,,,,
37,03/27/23 05:11:35 AM,8.890,,,,
38,03/27/23 05:13:09 AM,9.144,,,,
39,03/27/23 05:42:39 AM,9.398,,,,
40,03/27/23 05:43:31 AM,9.652,,,,
41,03/27/23 05:47:01 AM,9.906,,,,
42,03/27/23 06:00:36 AM,10.160,,,,
43,03/27/23 06:44:59 AM,10.414,,,,
44,03/27/23 07:13:59 AM,10.668,,,,
45,03/27/23 07:15:33 AM,10.922,,,,
46,03/27/23 07:17:51 AM,11.176,,,,
47,03/27/23 07:21:00 AM,11.430,,,,
48,03/27/23 07:27:52 AM,11.684,,,,
49,03/27/23 07:49:25 AM,11.938,,,,
50,03/27/23 08:10:35 AM,12.192,,,,
51,03/27/23 08:24:38 AM,12.446,,,,
52,03/27/23 08:53:25 AM,12.700,,,,
53,03/27/23 09:08:08 AM,12.954,,,,
54,03/27/23 09:09:43 AM,13.208,,,,
55,03/27/23 09:11:48 AM,13.462,,,,
56,03/27/23 09:16:31 AM,13.716,,,,
57,03/27/23 10:11:29 AM,13.970,,,,
58,03/27/23 10:16:28 AM,14.224,,,,
59,03/27/23 10:20:30 AM,14.478,,,,
60,03/27/23 10:29:40 AM,14.732,,,,
61,03/27/23 05:51:42 PM,14.986,,,,
62,03/27/23 07:06:11 PM,15.240,,,,
63,03/27/23 07:08:51 PM,15.494,,,,
64,03/27/23 07:34:12 PM,15.748,,,,
65,03/27/23 07:36:09 PM,16.002,,,,
66,03/27/23 07:50:54 PM,16.256,,,,
67,03/27/23 07:52:03 PM,16.510,,,,
68,03/27/23 07:52:46 PM,16.764,,,,
69,03/27/23 08:21:46 PM,17.018,,,,
70,03/27/23 09:09:58 PM,17.272,,,,
71,03/30/23 08:36:19 PM,17.526,,,,
72,03/30/23 08:38:28 PM,17.780,,,,
73,03/30/23 08:40:12 PM,18.034,,,,
74,03/30/23 08:43:20 PM,18.288,,,,
75,03/30/23 08:48:59 PM,18.542,,,,
76,03/30/23 09:07:28 PM,18.796,,,,
77,03/31/23 03:49:30 AM,19.050,,,,
78,03/31/23 05:44:10 AM,19.304,,,,
79,03/31/23 05:47:14 AM,19.558,,,,
80,03/31/23 05:51:10 AM,19.812,,,,
81,03/31/23 05:53:48 AM,20.066,,,,
82,03/31/23 05:54:43 AM,20.320,,,,
83,03/31/23 05:55:47 AM,20.574,,,,
84,03/31/23 05:57:25 AM,20.828,,,,
85,03/31/23 05:58:42 AM,21.082,,,,
86,03/31/23 05:59:41 AM,21.336,,,,
87,03/31/23 06:01:32 AM,21.590,,,,
88,03/31/23 06:03:38 AM,21.844,,,,
89,03/31/23 06:05:48 AM,22.098,,,,
90,03/31/23 06:07:23 AM,22.352,,,,
91,03/31/23 06:09:39 AM,22.606,,,,
92,03/31/23 06:13:24 AM,22.860,,,,
93,03/31/23 06:21:52 AM,23.114,,,,
94,03/31/23 06:28:36 AM,23.368,,,,
95,03/31/23 06:43:46 AM,23.622,,,,
96,03/31/23 06:45:22 AM,23.876,,,,
97,03/31/23 06:47:58 AM,24.130,,,,
98,03/31/23 06:49:33 AM,24.384,,,,
99,03/31/23 06:52:42 AM,24.638,,,,
100,03/31/23 06:55:06 AM,24.892,,,,
101,03/31/23 06:59:18 AM,25.146,,,,
102,03/31/23 12:26:53 PM,25.400,,,,
103,04/02/23 09:56:10 AM,25.654,,,,
104,04/02/23 09:59:23 AM,25.908,,,,
