"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102572, SEN S/N: 20102572)","Coupler Detached (LGR S/N: 20102572)","Coupler Attached (LGR S/N: 20102572)","Host Connected (LGR S/N: 20102572)","End Of File (LGR S/N: 20102572)"
1,07/19/23 09:58:29 AM,0.000,,,,
2,07/19/23 09:58:45 AM,,Logged,,,
3,07/19/23 02:51:21 PM,0.254,,,,
4,07/19/23 02:55:35 PM,0.508,,,,
5,07/19/23 03:29:50 PM,0.762,,,,
6,07/19/23 03:31:53 PM,1.016,,,,
7,07/19/23 03:33:11 PM,1.270,,,,
8,07/19/23 04:10:19 PM,1.524,,,,
9,07/19/23 04:21:32 PM,1.778,,,,
10,07/19/23 04:33:43 PM,2.032,,,,
11,07/19/23 05:35:05 PM,2.286,,,,
12,07/19/23 08:00:29 PM,2.540,,,,
13,07/19/23 08:14:18 PM,2.794,,,,
14,07/20/23 06:27:33 AM,3.048,,,,
15,07/20/23 06:35:55 AM,3.302,,,,
16,07/20/23 06:45:22 AM,3.556,,,,
17,07/20/23 07:15:42 AM,3.810,,,,
18,07/20/23 07:19:18 AM,4.064,,,,
19,07/20/23 07:20:43 AM,4.318,,,,
20,07/20/23 07:21:08 AM,4.572,,,,
21,07/20/23 07:21:37 AM,4.826,,,,
22,07/20/23 07:22:25 AM,5.080,,,,
23,07/20/23 07:23:00 AM,5.334,,,,
24,07/20/23 07:23:47 AM,5.588,,,,
25,07/20/23 07:27:30 AM,5.842,,,,
26,07/20/23 07:29:07 AM,6.096,,,,
27,07/20/23 07:29:29 AM,6.350,,,,
28,07/20/23 07:29:48 AM,6.604,,,,
29,07/20/23 07:30:13 AM,6.858,,,,
30,07/20/23 07:30:38 AM,7.112,,,,
31,07/20/23 07:31:00 AM,7.366,,,,
32,07/20/23 07:31:31 AM,7.620,,,,
33,07/20/23 07:31:51 AM,7.874,,,,
34,07/20/23 07:32:51 AM,8.128,,,,
35,07/20/23 07:34:25 AM,8.382,,,,
36,07/20/23 07:35:34 AM,8.636,,,,
37,07/20/23 07:37:10 AM,8.890,,,,
38,07/20/23 07:39:34 AM,9.144,,,,
39,07/20/23 07:41:52 AM,9.398,,,,
40,07/20/23 07:45:10 AM,9.652,,,,
41,07/20/23 07:51:06 AM,9.906,,,,
42,07/20/23 08:06:38 AM,10.160,,,,
43,07/20/23 08:15:16 AM,10.414,,,,
44,07/20/23 08:19:25 AM,10.668,,,,
45,07/20/23 08:25:20 AM,10.922,,,,
46,07/20/23 08:29:35 AM,11.176,,,,
47,07/20/23 08:35:34 AM,11.430,,,,
48,07/20/23 08:40:49 AM,11.684,,,,
49,07/20/23 09:18:38 AM,11.938,,,,
50,07/20/23 04:31:39 PM,12.192,,,,
51,07/20/23 04:54:56 PM,12.446,,,,
52,07/20/23 04:58:08 PM,12.700,,,,
53,07/20/23 05:18:37 PM,12.954,,,,
54,07/20/23 08:30:07 PM,13.208,,,,
55,07/21/23 08:20:01 AM,13.462,,,,
56,07/21/23 08:29:40 AM,13.716,,,,
57,07/21/23 08:43:56 AM,13.970,,,,
58,07/24/23 09:37:28 AM,14.224,,,,
59,07/24/23 10:29:12 AM,14.478,,,,
60,07/24/23 11:57:04 AM,14.732,,,,
61,07/24/23 12:02:34 PM,14.986,,,,
62,07/24/23 12:06:48 PM,15.240,,,,
63,07/24/23 12:08:53 PM,15.494,,,,
64,07/24/23 12:14:45 PM,15.748,,,,
65,07/24/23 12:15:57 PM,16.002,,,,
66,07/24/23 12:17:14 PM,16.256,,,,
67,07/24/23 12:33:34 PM,16.510,,,,
68,07/24/23 12:36:45 PM,16.764,,,,
69,07/24/23 12:38:32 PM,17.018,,,,
70,07/24/23 12:39:35 PM,17.272,,,,
71,07/24/23 12:41:58 PM,17.526,,,,
72,07/24/23 12:44:13 PM,17.780,,,,
73,07/24/23 12:48:36 PM,18.034,,,,
74,07/24/23 12:57:10 PM,18.288,,,,
75,07/24/23 01:42:01 PM,18.542,,,,
76,07/24/23 01:45:15 PM,18.796,,,,
77,07/24/23 01:52:26 PM,19.050,,,,
78,07/25/23 12:20:50 AM,19.304,,,,
79,08/09/23 12:40:49 PM,,,Logged,,
80,08/09/23 12:40:53 PM,,,,Logged,
81,08/09/23 12:41:32 PM,,Logged,,,
82,08/09/23 12:42:02 PM,,,Logged,,
83,08/09/23 12:42:23 PM,,Logged,,,
84,08/10/23 02:03:34 AM,19.558,,,,
85,08/10/23 02:04:32 AM,19.812,,,,
86,08/10/23 02:05:28 AM,20.066,,,,
87,08/10/23 02:06:50 AM,20.320,,,,
88,08/10/23 02:10:33 AM,20.574,,,,
89,08/10/23 02:43:35 AM,20.828,,,,
90,08/10/23 02:55:46 AM,21.082,,,,
91,08/10/23 02:57:11 AM,21.336,,,,
92,08/10/23 02:58:20 AM,21.590,,,,
93,08/10/23 02:59:19 AM,21.844,,,,
94,08/10/23 03:02:24 AM,22.098,,,,
95,08/10/23 03:13:28 AM,22.352,,,,
96,08/10/23 03:13:41 AM,22.606,,,,
97,08/10/23 03:13:57 AM,22.860,,,,
98,08/10/23 03:14:13 AM,23.114,,,,
99,08/10/23 03:14:25 AM,23.368,,,,
100,08/10/23 03:15:03 AM,23.622,,,,
101,08/10/23 03:15:41 AM,23.876,,,,
102,08/10/23 03:16:18 AM,24.130,,,,
103,08/10/23 03:16:31 AM,24.384,,,,
104,08/10/23 03:16:46 AM,24.638,,,,
105,08/10/23 03:17:04 AM,24.892,,,,
106,08/10/23 03:17:35 AM,25.146,,,,
107,08/10/23 03:17:51 AM,25.400,,,,
108,08/10/23 03:18:12 AM,25.654,,,,
109,08/10/23 03:18:24 AM,25.908,,,,
110,08/10/23 03:18:34 AM,26.162,,,,
111,08/10/23 03:18:45 AM,26.416,,,,
112,08/10/23 03:18:57 AM,26.670,,,,
113,08/10/23 03:19:13 AM,26.924,,,,
114,08/10/23 03:19:37 AM,27.178,,,,
115,08/10/23 03:20:01 AM,27.432,,,,
116,08/10/23 03:20:32 AM,27.686,,,,
117,08/10/23 03:21:23 AM,27.940,,,,
118,08/10/23 03:21:53 AM,28.194,,,,
119,08/10/23 03:22:03 AM,28.448,,,,
120,08/10/23 03:22:11 AM,28.702,,,,
121,08/10/23 03:22:20 AM,28.956,,,,
122,08/10/23 03:22:30 AM,29.210,,,,
123,08/10/23 03:22:42 AM,29.464,,,,
124,08/10/23 03:22:51 AM,29.718,,,,
125,08/10/23 03:23:00 AM,29.972,,,,
126,08/10/23 03:23:11 AM,30.226,,,,
127,08/10/23 03:23:23 AM,30.480,,,,
128,08/10/23 03:23:33 AM,30.734,,,,
129,08/10/23 03:23:49 AM,30.988,,,,
130,08/10/23 03:24:11 AM,31.242,,,,
131,08/10/23 03:24:39 AM,31.496,,,,
132,08/10/23 03:25:08 AM,31.750,,,,
133,08/10/23 03:26:07 AM,32.004,,,,
134,08/10/23 03:27:56 AM,32.258,,,,
135,08/10/23 03:29:41 AM,32.512,,,,
136,08/10/23 03:31:34 AM,32.766,,,,
137,08/10/23 03:33:23 AM,33.020,,,,
138,08/10/23 03:34:01 AM,33.274,,,,
139,08/10/23 03:34:56 AM,33.528,,,,
140,08/10/23 03:35:39 AM,33.782,,,,
141,08/10/23 03:36:38 AM,34.036,,,,
142,08/10/23 03:37:08 AM,34.290,,,,
143,08/10/23 03:37:27 AM,34.544,,,,
144,08/10/23 03:37:41 AM,34.798,,,,
145,08/10/23 03:37:56 AM,35.052,,,,
146,08/10/23 03:38:12 AM,35.306,,,,
147,08/10/23 03:38:26 AM,35.560,,,,
148,08/10/23 03:38:40 AM,35.814,,,,
149,08/10/23 03:38:51 AM,36.068,,,,
150,08/10/23 03:39:04 AM,36.322,,,,
151,08/10/23 03:39:18 AM,36.576,,,,
152,08/10/23 03:39:32 AM,36.830,,,,
153,08/10/23 03:39:46 AM,37.084,,,,
154,08/10/23 03:40:01 AM,37.338,,,,
155,08/10/23 03:40:18 AM,37.592,,,,
156,08/10/23 03:40:38 AM,37.846,,,,
157,08/10/23 03:40:55 AM,38.100,,,,
158,08/10/23 03:41:11 AM,38.354,,,,
159,08/10/23 03:41:31 AM,38.608,,,,
160,08/10/23 03:42:01 AM,38.862,,,,
161,08/10/23 03:42:21 AM,39.116,,,,
162,08/10/23 03:42:36 AM,39.370,,,,
163,08/10/23 03:42:52 AM,39.624,,,,
164,08/10/23 03:43:10 AM,39.878,,,,
