"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20102572, SEN S/N: 20102572)","Coupler Detached (LGR S/N: 20102572)","Coupler Attached (LGR S/N: 20102572)","Host Connected (LGR S/N: 20102572)","End Of File (LGR S/N: 20102572)"
1,12/12/22 12:58:05 PM,0.000,,,,
2,12/12/22 12:58:14 PM,,Logged,,,
3,12/17/22 04:28:17 AM,0.254,,,,
4,12/17/22 04:34:42 AM,0.508,,,,
5,12/17/22 04:37:06 AM,0.762,,,,
6,12/17/22 04:38:37 AM,1.016,,,,
7,12/17/22 04:41:09 AM,1.270,,,,
8,12/17/22 04:42:49 AM,1.524,,,,
9,12/17/22 04:44:54 AM,1.778,,,,
10,12/17/22 04:46:10 AM,2.032,,,,
11,12/17/22 04:48:24 AM,2.286,,,,
12,12/17/22 04:52:31 AM,2.540,,,,
13,12/17/22 04:58:11 AM,2.794,,,,
14,12/17/22 05:01:27 AM,3.048,,,,
15,12/17/22 05:06:06 AM,3.302,,,,
16,12/17/22 05:10:37 AM,3.556,,,,
17,12/17/22 05:15:51 AM,3.810,,,,
18,12/17/22 05:18:55 AM,4.064,,,,
19,12/17/22 05:22:03 AM,4.318,,,,
20,12/17/22 05:24:14 AM,4.572,,,,
21,12/17/22 05:26:03 AM,4.826,,,,
22,12/17/22 05:28:54 AM,5.080,,,,
23,12/17/22 05:35:23 AM,5.334,,,,
24,12/17/22 05:40:29 AM,5.588,,,,
25,12/17/22 05:46:23 AM,5.842,,,,
26,12/17/22 05:51:26 AM,6.096,,,,
27,12/17/22 06:01:06 AM,6.350,,,,
28,12/17/22 06:05:44 AM,6.604,,,,
29,12/17/22 06:11:02 AM,6.858,,,,
30,12/17/22 06:16:18 AM,7.112,,,,
31,12/17/22 06:24:49 AM,7.366,,,,
32,12/17/22 06:31:04 AM,7.620,,,,
33,12/17/22 06:37:08 AM,7.874,,,,
34,12/17/22 02:42:22 PM,8.128,,,,
35,12/17/22 02:48:33 PM,8.382,,,,
36,12/17/22 02:49:24 PM,8.636,,,,
37,12/17/22 02:50:42 PM,8.890,,,,
38,12/17/22 02:51:22 PM,9.144,,,,
39,12/17/22 02:51:57 PM,9.398,,,,
40,12/17/22 02:52:17 PM,9.652,,,,
41,12/17/22 02:52:41 PM,9.906,,,,
42,12/17/22 02:53:05 PM,10.160,,,,
43,12/17/22 02:53:33 PM,10.414,,,,
44,12/17/22 02:53:54 PM,10.668,,,,
45,12/17/22 02:54:22 PM,10.922,,,,
46,12/17/22 02:54:37 PM,11.176,,,,
47,12/17/22 02:54:55 PM,11.430,,,,
48,12/17/22 02:55:06 PM,11.684,,,,
49,12/17/22 02:55:19 PM,11.938,,,,
50,12/17/22 02:55:31 PM,12.192,,,,
51,12/17/22 02:55:43 PM,12.446,,,,
52,12/17/22 02:55:55 PM,12.700,,,,
53,12/17/22 02:56:04 PM,12.954,,,,
54,12/17/22 02:56:12 PM,13.208,,,,
55,12/17/22 02:56:22 PM,13.462,,,,
56,12/17/22 02:56:31 PM,13.716,,,,
57,12/17/22 02:56:38 PM,13.970,,,,
