"Plot Title: Mseleni TC "
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112167, SEN S/N: 20112167)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","Host Connected (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
123,12/17/22 03:22:03 PM,30.734,,,,
124,12/17/22 03:22:21 PM,30.988,,,,
125,12/17/22 03:22:36 PM,31.242,,,,
126,12/17/22 03:22:54 PM,31.496,,,,
127,12/17/22 03:23:07 PM,31.750,,,,
128,12/17/22 03:23:23 PM,32.004,,,,
129,12/17/22 03:23:37 PM,32.258,,,,
130,12/17/22 03:23:53 PM,32.512,,,,
131,12/17/22 03:24:06 PM,32.766,,,,
132,12/17/22 03:24:23 PM,33.020,,,,
133,12/17/22 03:24:37 PM,33.274,,,,
134,12/17/22 03:24:56 PM,33.528,,,,
135,12/17/22 03:25:13 PM,33.782,,,,
136,12/17/22 03:25:37 PM,34.036,,,,
137,12/17/22 03:25:51 PM,34.290,,,,
138,12/17/22 03:26:06 PM,34.544,,,,
139,12/17/22 03:26:21 PM,34.798,,,,
140,12/17/22 03:26:37 PM,35.052,,,,
141,12/17/22 03:26:49 PM,35.306,,,,
142,12/17/22 03:27:03 PM,35.560,,,,
143,12/17/22 03:27:15 PM,35.814,,,,
144,12/17/22 03:27:29 PM,36.068,,,,
145,12/17/22 03:27:41 PM,36.322,,,,
146,12/17/22 03:27:55 PM,36.576,,,,
147,12/17/22 03:28:11 PM,36.830,,,,
148,12/17/22 03:28:27 PM,37.084,,,,
149,12/17/22 03:28:42 PM,37.338,,,,
150,12/17/22 03:28:59 PM,37.592,,,,
151,12/17/22 03:29:12 PM,37.846,,,,
152,12/17/22 03:29:25 PM,38.100,,,,
153,12/17/22 03:29:38 PM,38.354,,,,
154,12/17/22 03:29:51 PM,38.608,,,,
155,12/17/22 03:30:05 PM,38.862,,,,
156,12/17/22 03:30:20 PM,39.116,,,,
157,12/17/22 03:30:34 PM,39.370,,,,
158,12/17/22 03:30:49 PM,39.624,,,,
159,12/17/22 03:31:01 PM,39.878,,,,
160,12/17/22 03:31:16 PM,40.132,,,,
161,12/17/22 03:31:30 PM,40.386,,,,
162,12/17/22 03:31:47 PM,40.640,,,,
163,12/17/22 03:32:06 PM,40.894,,,,
164,12/17/22 03:32:30 PM,41.148,,,,
165,12/17/22 03:33:04 PM,41.402,,,,
166,12/17/22 03:33:52 PM,41.656,,,,
167,12/17/22 03:34:20 PM,41.910,,,,
168,12/17/22 03:35:05 PM,42.164,,,,
169,12/17/22 03:35:57 PM,42.418,,,,
170,12/17/22 03:45:59 PM,42.672,,,,
171,12/17/22 03:56:31 PM,42.926,,,,
172,12/17/22 04:23:31 PM,43.180,,,,
173,12/17/22 04:34:26 PM,43.434,,,,
174,12/19/22 10:29:38 PM,43.688,,,,
175,12/20/22 01:21:10 AM,43.942,,,,
176,12/20/22 01:56:46 AM,44.196,,,,
177,12/20/22 02:05:18 AM,44.450,,,,
178,12/20/22 02:11:01 AM,44.704,,,,
179,12/20/22 02:18:16 AM,44.958,,,,
180,12/20/22 02:25:02 AM,45.212,,,,
181,12/20/22 02:33:56 AM,45.466,,,,
182,12/20/22 02:43:15 AM,45.720,,,,
183,12/20/22 02:55:05 AM,45.974,,,,
184,12/20/22 03:00:33 AM,46.228,,,,
185,12/20/22 03:10:41 AM,46.482,,,,
186,12/20/22 03:21:20 AM,46.736,,,,
187,12/20/22 03:38:23 AM,46.990,,,,
188,12/20/22 03:51:20 AM,47.244,,,,
189,12/20/22 04:00:23 AM,47.498,,,,
190,12/21/22 03:28:50 AM,47.752,,,,
191,12/21/22 03:41:22 AM,48.006,,,,
192,12/25/22 08:48:52 PM,48.260,,,,
193,12/25/22 09:02:45 PM,48.514,,,,
194,12/25/22 09:15:49 PM,48.768,,,,
195,12/25/22 09:25:39 PM,49.022,,,,
196,12/25/22 09:37:14 PM,49.276,,,,
197,12/25/22 09:41:19 PM,49.530,,,,
198,12/25/22 09:48:20 PM,49.784,,,,
199,12/25/22 10:33:45 PM,50.038,,,,
200,12/25/22 11:42:04 PM,50.292,,,,
201,12/25/22 11:51:14 PM,50.546,,,,
202,12/26/22 12:01:22 AM,50.800,,,,
203,12/26/22 12:08:35 AM,51.054,,,,
204,12/26/22 12:12:55 AM,51.308,,,,
205,12/26/22 12:15:39 AM,51.562,,,,
206,12/26/22 12:18:42 AM,51.816,,,,
207,12/26/22 12:20:40 AM,52.070,,,,
208,12/26/22 12:23:40 AM,52.324,,,,
209,12/26/22 12:26:59 AM,52.578,,,,
210,12/26/22 12:30:48 AM,52.832,,,,
211,12/26/22 12:33:54 AM,53.086,,,,
212,12/26/22 12:37:53 AM,53.340,,,,
213,12/26/22 12:42:27 AM,53.594,,,,
214,12/26/22 12:44:52 AM,53.848,,,,
215,12/26/22 12:46:15 AM,54.102,,,,
216,12/26/22 12:47:29 AM,54.356,,,,
217,12/26/22 12:48:47 AM,54.610,,,,
218,12/26/22 12:50:39 AM,54.864,,,,
219,12/26/22 12:53:21 AM,55.118,,,,
220,12/26/22 12:57:13 AM,55.372,,,,
221,12/26/22 01:01:52 AM,55.626,,,,
222,12/26/22 01:05:48 AM,55.880,,,,
223,12/26/22 01:08:16 AM,56.134,,,,
224,12/26/22 01:10:47 AM,56.388,,,,
225,12/26/22 01:13:32 AM,56.642,,,,
