"Plot Title: Mseleni TC "
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112167, SEN S/N: 20112167)","Host Connected (LGR S/N: 20112167)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
1,10/22/2021 11:17:04,0.000,,,,
2,10/22/2021 11:17:12,,Logged,,,
3,10/22/2021 11:17:15,,,Logged,,
4,10/25/2021 14:19:35,0.254,,,,
5,10/25/2021 14:32:55,0.508,,,,
6,10/25/2021 14:43:42,0.762,,,,
7,10/25/2021 15:03:16,1.016,,,,
8,10/25/2021 15:14:30,1.270,,,,
9,10/25/2021 15:20:59,1.524,,,,
10,10/25/2021 15:26:42,1.778,,,,
11,10/25/2021 15:31:04,2.032,,,,
12,10/25/2021 15:35:28,2.286,,,,
13,10/25/2021 15:38:31,2.540,,,,
14,10/25/2021 15:41:45,2.794,,,,
15,10/25/2021 15:44:12,3.048,,,,
16,10/25/2021 15:48:40,3.302,,,,
17,10/25/2021 15:51:20,3.556,,,,
18,10/25/2021 15:53:43,3.810,,,,
19,10/25/2021 15:55:34,4.064,,,,
20,10/25/2021 15:58:09,4.318,,,,
21,10/25/2021 16:00:56,4.572,,,,
22,10/25/2021 16:06:19,4.826,,,,
23,10/25/2021 16:10:47,5.080,,,,
24,10/25/2021 16:17:08,5.334,,,,
25,10/25/2021 16:22:13,5.588,,,,
26,10/25/2021 16:26:38,5.842,,,,
27,10/25/2021 16:29:20,6.096,,,,
28,10/25/2021 16:33:09,6.350,,,,
29,10/25/2021 16:37:16,6.604,,,,
30,10/25/2021 16:42:14,6.858,,,,
31,10/25/2021 16:47:14,7.112,,,,
32,10/25/2021 16:54:02,7.366,,,,
33,10/25/2021 17:00:14,7.620,,,,
34,10/25/2021 17:08:49,7.874,,,,
35,10/25/2021 17:14:54,8.128,,,,
36,10/25/2021 17:20:32,8.382,,,,
37,10/25/2021 17:23:47,8.636,,,,
38,10/25/2021 17:26:47,8.890,,,,
39,10/25/2021 17:29:20,9.144,,,,
40,10/25/2021 17:33:02,9.398,,,,
41,10/25/2021 17:36:15,9.652,,,,
42,10/25/2021 17:39:53,9.906,,,,
43,10/25/2021 17:43:11,10.160,,,,
44,10/25/2021 17:47:04,10.414,,,,
45,10/25/2021 17:50:59,10.668,,,,
46,10/25/2021 17:53:55,10.922,,,,
47,10/25/2021 17:57:23,11.176,,,,
48,10/25/2021 18:01:33,11.430,,,,
49,10/25/2021 18:06:27,11.684,,,,
50,10/25/2021 18:15:41,11.938,,,,
51,10/25/2021 18:38:49,12.192,,,,
52,10/25/2021 18:47:26,12.446,,,,
53,10/25/2021 19:00:56,12.700,,,,
54,10/25/2021 20:20:10,12.954,,,,
55,10/25/2021 20:30:26,13.208,,,,
56,10/25/2021 20:38:10,13.462,,,,
57,10/25/2021 20:48:46,13.716,,,,
58,10/25/2021 20:56:45,13.970,,,,
59,10/25/2021 21:17:24,14.224,,,,
60,10/25/2021 21:26:56,14.478,,,,
61,10/25/2021 21:34:56,14.732,,,,
62,10/25/2021 21:41:32,14.986,,,,
63,10/25/2021 21:48:21,15.240,,,,
64,10/25/2021 21:54:40,15.494,,,,
65,10/25/2021 22:02:19,15.748,,,,
66,10/25/2021 22:14:29,16.002,,,,
67,10/25/2021 22:29:11,16.256,,,,
68,10/25/2021 22:33:40,16.510,,,,
69,10/25/2021 22:37:51,16.764,,,,
70,10/25/2021 23:53:01,17.018,,,,
71,10/26/2021 00:01:28,17.272,,,,
72,10/26/2021 00:06:31,17.526,,,,
73,10/26/2021 00:09:47,17.780,,,,
74,10/26/2021 00:13:10,18.034,,,,
75,10/26/2021 00:17:13,18.288,,,,
76,10/26/2021 00:20:33,18.542,,,,
77,10/26/2021 00:23:06,18.796,,,,
78,10/26/2021 00:27:08,19.050,,,,
79,10/26/2021 00:31:42,19.304,,,,
80,10/26/2021 00:37:14,19.558,,,,
81,10/26/2021 00:42:20,19.812,,,,
82,10/26/2021 00:49:56,20.066,,,,
83,10/26/2021 00:53:22,20.320,,,,
84,10/26/2021 00:57:00,20.574,,,,
85,10/26/2021 00:59:54,20.828,,,,
86,10/26/2021 01:03:17,21.082,,,,
87,10/26/2021 01:06:06,21.336,,,,
88,10/26/2021 01:08:14,21.590,,,,
89,10/26/2021 01:09:42,21.844,,,,
90,10/26/2021 01:11:33,22.098,,,,
91,10/26/2021 01:13:59,22.352,,,,
92,10/26/2021 01:17:34,22.606,,,,
93,10/26/2021 01:21:03,22.860,,,,
94,10/26/2021 01:24:26,23.114,,,,
95,10/26/2021 01:29:10,23.368,,,,
96,10/26/2021 01:47:58,23.622,,,,
97,10/26/2021 02:13:46,23.876,,,,
98,10/26/2021 02:23:48,24.130,,,,
99,10/26/2021 02:31:52,24.384,,,,
100,10/26/2021 02:37:50,24.638,,,,
101,10/26/2021 02:49:36,24.892,,,,
102,10/26/2021 03:31:08,25.146,,,,
103,10/26/2021 03:32:06,25.400,,,,
104,10/26/2021 03:33:48,25.654,,,,
105,10/26/2021 03:35:47,25.908,,,,
106,10/26/2021 03:39:58,26.162,,,,
107,10/26/2021 03:46:11,26.416,,,,
108,10/26/2021 03:51:01,26.670,,,,
109,10/26/2021 03:55:42,26.924,,,,
110,10/26/2021 03:59:57,27.178,,,,
111,10/26/2021 04:08:29,27.432,,,,
112,10/26/2021 04:13:54,27.686,,,,
113,10/26/2021 04:19:13,27.940,,,,
114,10/26/2021 04:32:52,28.194,,,,
115,10/26/2021 05:11:05,28.448,,,,
116,10/29/2021 23:09:09,28.702,,,,
117,10/29/2021 23:12:47,28.956,,,,
118,10/29/2021 23:15:33,29.210,,,,
119,10/29/2021 23:17:45,29.464,,,,
120,10/29/2021 23:21:11,29.718,,,,
121,10/29/2021 23:26:02,29.972,,,,
122,10/29/2021 23:32:56,30.226,,,,
123,10/29/2021 23:44:01,30.480,,,,
124,10/30/2021 05:13:58,30.734,,,,
125,10/30/2021 18:53:39,30.988,,,,
126,10/30/2021 18:55:12,31.242,,,,
127,10/30/2021 18:55:54,31.496,,,,
128,10/30/2021 18:56:27,31.750,,,,
129,10/30/2021 18:57:05,32.004,,,,
130,10/30/2021 18:57:48,32.258,,,,
131,10/30/2021 18:58:18,32.512,,,,
132,10/30/2021 18:58:54,32.766,,,,
133,10/30/2021 18:59:44,33.020,,,,
134,10/30/2021 19:00:51,33.274,,,,
135,10/30/2021 19:02:10,33.528,,,,
136,10/30/2021 19:04:44,33.782,,,,
137,10/30/2021 19:08:07,34.036,,,,
138,10/30/2021 19:10:33,34.290,,,,
139,10/30/2021 19:11:47,34.544,,,,
140,10/30/2021 19:13:20,34.798,,,,
141,10/30/2021 19:14:56,35.052,,,,
142,10/30/2021 20:00:48,35.306,,,,
143,11/05/2021 17:34:08,35.560,,,,
144,11/05/2021 17:44:17,35.814,,,,
145,11/05/2021 17:54:57,36.068,,,,
146,11/05/2021 18:02:43,36.322,,,,
147,11/05/2021 18:22:32,36.576,,,,
148,11/05/2021 20:46:03,36.830,,,,
149,11/06/2021 18:15:49,37.084,,,,
150,11/06/2021 18:46:19,37.338,,,,
151,11/06/2021 18:59:28,37.592,,,,
152,11/06/2021 19:22:29,37.846,,,,
153,11/06/2021 19:26:44,38.100,,,,
154,11/06/2021 19:35:29,38.354,,,,
155,11/06/2021 19:49:11,38.608,,,,
156,11/06/2021 20:18:43,38.862,,,,
157,11/06/2021 20:37:09,39.116,,,,
158,11/06/2021 20:42:44,39.370,,,,
159,11/06/2021 20:45:55,39.624,,,,
160,11/06/2021 20:48:48,39.878,,,,
161,11/06/2021 20:51:26,40.132,,,,
162,11/07/2021 19:40:44,40.386,,,,
163,11/07/2021 20:40:14,40.640,,,,
164,11/07/2021 20:44:34,40.894,,,,
165,11/07/2021 20:47:41,41.148,,,,
166,11/07/2021 20:50:30,41.402,,,,
167,11/07/2021 20:53:23,41.656,,,,
168,11/07/2021 21:17:19,41.910,,,,
169,11/07/2021 21:21:06,42.164,,,,
170,11/07/2021 21:36:13,42.418,,,,
171,11/08/2021 00:01:56,42.672,,,,
172,11/08/2021 00:35:29,42.926,,,,
