Plot Title: Sileza camp,,,,,,
#,Date Time,Rainfall (mm)  #20102559,Coupler Detached,Coupler Attached,Host Connected,End Of File
131,21/06/01 06:01:59.0,30.988,,,,
132,21/06/01 06:03:15.0,31.242,,,,
133,21/06/01 06:03:51.0,31.496,,,,
134,21/06/01 06:04:47.0,31.75,,,,
135,21/06/01 06:08:48.0,32.004,,,,
136,21/06/01 06:14:21.0,32.258,,,,
137,21/06/01 06:15:06.0,32.512,,,,
138,21/06/01 06:16:14.0,32.766,,,,
139,21/06/01 06:17:27.0,33.02,,,,
140,21/06/01 06:18:42.0,33.274,,,,
141,21/06/01 06:19:27.0,33.528,,,,
142,21/06/01 06:20:11.0,33.782,,,,
143,21/06/01 06:20:43.0,34.036,,,,
144,21/06/01 06:21:12.0,34.29,,,,
145,21/06/01 06:21:22.0,34.544,,,,
146,21/06/01 06:21:34.0,34.798,,,,
147,21/06/01 06:21:43.0,35.052,,,,
148,21/06/01 06:21:53.0,35.306,,,,
149,21/06/01 06:22:01.0,35.56,,,,
150,21/06/01 06:22:11.0,35.814,,,,
151,21/06/01 06:22:23.0,36.068,,,,
152,21/06/01 06:22:42.0,36.322,,,,
153,21/06/01 06:23:08.0,36.576,,,,
154,21/06/01 06:24:15.0,36.83,,,,
155,21/06/01 06:25:36.0,37.084,,,,
156,21/06/01 06:27:49.0,37.338,,,,
157,21/06/01 06:28:20.0,37.592,,,,
158,21/06/01 06:28:39.0,37.846,,,,
159,21/06/01 06:28:57.0,38.1,,,,
160,21/06/01 06:29:21.0,38.354,,,,
161,21/06/01 06:29:35.0,38.608,,,,
162,21/06/01 06:30:03.0,38.862,,,,
163,21/06/01 06:31:03.0,39.116,,,,
164,21/06/01 06:34:56.0,39.37,,,,
165,21/06/01 06:37:16.0,39.624,,,,
166,21/06/01 06:39:38.0,39.878,,,,
167,21/06/01 06:41:05.0,40.132,,,,
168,21/06/01 06:46:56.0,40.386,,,,
169,21/06/01 06:54:23.0,40.64,,,,
170,21/06/01 12:11:22.0,40.894,,,,
171,21/06/01 18:31:16.0,41.148,,,,
172,21/06/01 18:34:56.0,41.402,,,,
173,21/06/01 18:37:10.0,41.656,,,,
174,21/06/01 18:39:45.0,41.91,,,,
175,21/06/01 18:41:25.0,42.164,,,,
176,21/06/01 18:44:26.0,42.418,,,,
177,21/06/01 18:48:41.0,42.672,,,,
178,21/06/01 18:54:06.0,42.926,,,,
179,21/06/01 19:00:07.0,43.18,,,,
180,21/06/01 19:05:58.0,43.434,,,,
181,21/06/01 19:11:39.0,43.688,,,,
182,21/06/01 19:16:25.0,43.942,,,,
183,21/06/01 19:19:35.0,44.196,,,,
184,21/06/01 19:23:03.0,44.45,,,,
185,21/06/01 19:25:35.0,44.704,,,,
186,21/06/01 19:28:16.0,44.958,,,,
187,21/06/01 19:30:44.0,45.212,,,,
188,21/06/01 19:33:20.0,45.466,,,,
189,21/06/01 19:35:37.0,45.72,,,,
190,21/06/01 19:38:37.0,45.974,,,,
191,21/06/01 19:42:08.0,46.228,,,,
192,21/06/01 19:45:01.0,46.482,,,,
193,21/06/01 19:47:06.0,46.736,,,,
194,21/06/01 19:49:11.0,46.99,,,,
195,21/06/01 19:51:20.0,47.244,,,,
196,21/06/01 19:54:56.0,47.498,,,,
197,21/06/01 20:00:44.0,47.752,,,,
198,21/06/01 20:45:32.0,48.006,,,,
199,21/06/01 22:18:15.0,48.26,,,,
200,21/06/01 22:34:47.0,48.514,,,,
201,21/06/01 22:55:20.0,48.768,,,,
202,21/06/01 23:20:29.0,49.022,,,,
203,21/06/03 15:15:12.0,49.276,,,,
204,21/06/03 18:15:38.0,49.53,,,,
205,21/06/04 03:20:14.0,49.784,,,,
206,21/06/04 03:58:29.0,50.038,,,,
207,21/06/04 04:13:12.0,50.292,,,,
208,21/06/05 22:41:33.0,50.546,,,,
209,21/06/05 22:49:45.0,50.8,,,,
210,21/06/05 22:55:36.0,51.054,,,,
211,21/06/05 22:57:27.0,51.308,,,,
212,21/06/05 22:59:36.0,51.562,,,,
213,21/06/05 23:02:20.0,51.816,,,,
214,21/06/05 23:06:43.0,52.07,,,,
215,21/06/05 23:11:28.0,52.324,,,,
216,21/06/05 23:36:50.0,52.578,,,,
217,21/06/05 23:44:24.0,52.832,,,,
218,21/06/05 23:46:10.0,53.086,,,,
219,21/06/05 23:47:17.0,53.34,,,,
220,21/06/05 23:48:42.0,53.594,,,,
221,21/06/05 23:51:15.0,53.848,,,,
222,21/06/05 23:54:52.0,54.102,,,,
223,21/06/05 23:59:03.0,54.356,,,,
224,21/06/06 00:02:14.0,54.61,,,,
225,21/06/06 00:09:45.0,54.864,,,,
226,21/06/06 00:24:17.0,55.118,,,,
227,21/06/06 00:31:15.0,55.372,,,,
228,21/06/06 00:39:10.0,55.626,,,,
229,21/06/06 00:43:30.0,55.88,,,,
230,21/06/06 02:01:53.0,56.134,,,,
231,21/06/06 02:06:34.0,56.388,,,,
232,21/06/06 04:41:10.0,56.642,,,,
233,21/06/10 06:15:27.0,56.896,,,,
234,21/06/10 06:16:26.0,57.15,,,,
235,21/06/10 06:17:04.0,57.404,,,,
236,21/06/10 06:17:47.0,57.658,,,,
