"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","Host Connected (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
103,21/03/17 07:34:22 PM,24.638,,,,,,,,
104,21/03/17 07:35:31 PM,24.892,,,,,,,,
105,21/03/17 07:36:40 PM,25.146,,,,,,,,
106,21/03/17 07:39:23 PM,25.400,,,,,,,,
107,21/03/17 07:49:44 PM,25.654,,,,,,,,
108,21/03/17 08:13:19 PM,25.908,,,,,,,,
109,21/03/17 08:14:33 PM,26.162,,,,,,,,
110,21/03/17 08:15:39 PM,26.416,,,,,,,,
111,21/03/17 08:17:04 PM,26.670,,,,,,,,
112,21/03/17 08:18:57 PM,26.924,,,,,,,,
113,21/03/17 08:22:54 PM,27.178,,,,,,,,
114,21/03/17 08:29:10 PM,27.432,,,,,,,,
115,21/03/17 08:41:07 PM,27.686,,,,,,,,
116,21/03/17 08:53:32 PM,27.940,,,,,,,,
117,21/03/20 04:29:43 AM,28.194,,,,,,,,
118,21/03/20 04:32:41 AM,28.448,,,,,,,,
119,21/03/20 04:34:31 AM,28.702,,,,,,,,
120,21/03/20 04:35:57 AM,28.956,,,,,,,,
121,21/03/20 04:37:00 AM,29.210,,,,,,,,
122,21/03/20 04:37:42 AM,29.464,,,,,,,,
123,21/03/20 04:38:08 AM,29.718,,,,,,,,
124,21/03/20 04:38:30 AM,29.972,,,,,,,,
125,21/03/20 04:38:53 AM,30.226,,,,,,,,
126,21/03/20 04:39:12 AM,30.480,,,,,,,,
127,21/03/20 04:39:48 AM,30.734,,,,,,,,
128,21/03/20 04:41:15 AM,30.988,,,,,,,,
129,21/03/20 07:10:41 AM,31.242,,,,,,,,
130,21/03/20 07:12:56 AM,31.496,,,,,,,,
131,21/03/20 07:16:23 AM,31.750,,,,,,,,
132,21/03/20 07:20:14 AM,32.004,,,,,,,,
133,21/03/20 07:20:51 AM,32.258,,,,,,,,
134,21/03/20 07:21:46 AM,32.512,,,,,,,,
135,21/03/20 07:22:38 AM,32.766,,,,,,,,
136,21/03/20 07:23:24 AM,33.020,,,,,,,,
137,21/03/20 07:25:02 AM,33.274,,,,,,,,
138,21/03/20 07:28:16 AM,33.528,,,,,,,,
139,21/03/20 07:30:04 AM,33.782,,,,,,,,
140,21/03/20 07:31:42 AM,34.036,,,,,,,,
141,21/03/20 07:34:01 AM,34.290,,,,,,,,
142,21/03/20 07:37:03 AM,34.544,,,,,,,,
143,21/03/20 07:40:19 AM,34.798,,,,,,,,
144,21/03/20 07:40:45 AM,35.052,,,,,,,,
145,21/03/20 07:41:22 AM,35.306,,,,,,,,
146,21/03/20 07:41:48 AM,35.560,,,,,,,,
147,21/03/20 07:42:17 AM,35.814,,,,,,,,
148,21/03/20 07:42:39 AM,36.068,,,,,,,,
149,21/03/20 07:42:59 AM,36.322,,,,,,,,
150,21/03/20 07:43:23 AM,36.576,,,,,,,,
151,21/03/20 07:43:43 AM,36.830,,,,,,,,
152,21/03/20 07:44:01 AM,37.084,,,,,,,,
153,21/03/20 07:44:20 AM,37.338,,,,,,,,
154,21/03/20 07:44:39 AM,37.592,,,,,,,,
155,21/03/20 07:44:56 AM,37.846,,,,,,,,
156,21/03/20 07:45:07 AM,38.100,,,,,,,,
157,21/03/20 07:45:33 AM,38.354,,,,,,,,
158,21/03/20 07:46:09 AM,38.608,,,,,,,,
159,21/03/20 07:46:40 AM,38.862,,,,,,,,
160,21/03/20 07:47:22 AM,39.116,,,,,,,,
161,21/03/20 07:48:04 AM,39.370,,,,,,,,
162,21/03/20 07:49:05 AM,39.624,,,,,,,,
163,21/03/20 07:51:47 AM,39.878,,,,,,,,
164,21/03/21 11:06:49 PM,40.132,,,,,,,,
165,21/03/21 11:10:00 PM,40.386,,,,,,,,
166,21/03/21 11:11:35 PM,40.640,,,,,,,,
167,21/03/21 11:20:21 PM,40.894,,,,,,,,
168,21/03/25 08:27:07 PM,41.148,,,,,,,,
169,21/03/25 08:56:27 PM,41.402,,,,,,,,
170,21/03/25 10:40:43 PM,41.656,,,,,,,,
171,21/03/25 10:42:26 PM,41.910,,,,,,,,
172,21/03/25 10:43:45 PM,42.164,,,,,,,,
173,21/03/25 10:44:56 PM,42.418,,,,,,,,
174,21/03/25 10:46:36 PM,42.672,,,,,,,,
175,21/03/25 10:54:58 PM,42.926,,,,,,,,
176,21/03/25 10:58:50 PM,43.180,,,,,,,,
177,21/03/25 11:07:36 PM,43.434,,,,,,,,
178,21/03/25 11:23:26 PM,43.688,,,,,,,,
179,21/03/25 11:26:59 PM,43.942,,,,,,,,
180,21/03/25 11:29:02 PM,44.196,,,,,,,,
181,21/03/25 11:29:57 PM,44.450,,,,,,,,
182,21/03/25 11:30:44 PM,44.704,,,,,,,,
183,21/03/25 11:31:29 PM,44.958,,,,,,,,
184,21/03/25 11:33:06 PM,45.212,,,,,,,,
185,21/03/25 11:41:26 PM,45.466,,,,,,,,
186,21/03/25 11:45:18 PM,45.720,,,,,,,,
187,21/03/25 11:47:12 PM,45.974,,,,,,,,
188,21/03/25 11:48:37 PM,46.228,,,,,,,,
189,21/03/25 11:49:25 PM,46.482,,,,,,,,
190,21/03/25 11:49:51 PM,46.736,,,,,,,,
191,21/03/25 11:50:13 PM,46.990,,,,,,,,
192,21/03/25 11:50:34 PM,47.244,,,,,,,,
193,21/03/25 11:50:54 PM,47.498,,,,,,,,
194,21/03/25 11:51:15 PM,47.752,,,,,,,,
195,21/03/25 11:52:03 PM,48.006,,,,,,,,
196,21/03/25 11:53:39 PM,48.260,,,,,,,,
197,21/03/25 11:55:56 PM,48.514,,,,,,,,
198,21/03/25 11:57:34 PM,48.768,,,,,,,,
199,21/03/25 11:59:35 PM,49.022,,,,,,,,
200,21/03/26 12:01:24 AM,49.276,,,,,,,,
201,21/03/26 12:04:05 AM,49.530,,,,,,,,
202,21/03/26 12:07:12 AM,49.784,,,,,,,,
203,21/03/26 12:23:46 AM,50.038,,,,,,,,
204,21/03/26 12:32:34 AM,50.292,,,,,,,,
205,21/03/26 12:39:10 AM,50.546,,,,,,,,
206,21/03/26 12:45:34 AM,50.800,,,,,,,,
207,21/03/26 12:54:56 AM,51.054,,,,,,,,
208,21/03/26 12:57:34 AM,51.308,,,,,,,,
209,21/03/26 12:58:32 AM,51.562,,,,,,,,
210,21/03/26 12:59:08 AM,51.816,,,,,,,,
211,21/03/26 01:00:51 AM,52.070,,,,,,,,
212,21/03/26 01:03:06 AM,52.324,,,,,,,,
213,21/03/26 01:07:30 AM,52.578,,,,,,,,
214,21/03/26 01:13:38 AM,52.832,,,,,,,,
215,21/03/26 01:21:34 AM,53.086,,,,,,,,
216,21/03/26 01:25:03 AM,53.340,,,,,,,,
