"Plot Title: Mseleni TC"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112167, SEN S/N: 20112167)","Coupler Detached (LGR S/N: 20112167)","Coupler Attached (LGR S/N: 20112167)","Host Connected (LGR S/N: 20112167)","End Of File (LGR S/N: 20112167)"
1,21/02/11 09:55:23 AM,0.000,,,,
2,21/02/11 09:55:32 AM,,Logged,,,
3,21/02/11 12:44:18 PM,0.254,,,,
4,21/02/11 12:44:55 PM,0.508,,,,
5,21/02/11 12:45:41 PM,0.762,,,,
6,21/02/11 12:46:58 PM,1.016,,,,
7,21/02/11 12:47:21 PM,1.270,,,,
8,21/02/11 12:47:39 PM,1.524,,,,
9,21/02/11 12:47:59 PM,1.778,,,,
10,21/02/11 12:49:04 PM,2.032,,,,
11,21/02/11 12:52:53 PM,2.286,,,,
12,21/02/12 05:40:14 AM,2.540,,,,
13,21/02/12 05:40:27 AM,2.794,,,,
14,21/02/12 05:40:44 AM,3.048,,,,
15,21/02/12 05:41:10 AM,3.302,,,,
16,21/02/12 05:41:45 AM,3.556,,,,
17,21/02/12 05:41:59 AM,3.810,,,,
18,21/02/12 05:42:08 AM,4.064,,,,
19,21/02/12 05:42:17 AM,4.318,,,,
20,21/02/12 05:42:25 AM,4.572,,,,
21,21/02/12 05:42:32 AM,4.826,,,,
22,21/02/12 05:42:41 AM,5.080,,,,
23,21/02/12 05:42:50 AM,5.334,,,,
24,21/02/12 05:43:00 AM,5.588,,,,
25,21/02/12 05:43:10 AM,5.842,,,,
26,21/02/12 05:43:29 AM,6.096,,,,
27,21/02/12 05:43:47 AM,6.350,,,,
28,21/02/12 05:44:12 AM,6.604,,,,
29,21/02/12 05:44:40 AM,6.858,,,,
30,21/02/12 05:45:07 AM,7.112,,,,
31,21/02/12 05:45:21 AM,7.366,,,,
32,21/02/12 05:45:39 AM,7.620,,,,
33,21/02/12 05:45:56 AM,7.874,,,,
34,21/02/12 05:46:37 AM,8.128,,,,
