# Citation link: https://doi.org/10.15493/OBS.MONITOR.39744624?referrer=observationmonitor.saeon.ac.za
# Data for daily on Ezibomvini AWS
Timestamp,humid_rel_max,humid_rel_min,rad_short_in_avg,rad_short_in_max,rad_short_in_tot,rain_tot,temp_air_avg,temp_air_max,temp_air_min,temp_dew_point_avg,temp_dew_point_max,temp_dew_point_min,wind_dir_avg,wind_speed_avg,wind_speed_max,wind_speed_min,Latitude,Longitude
,pcnt,pcnt,w_per_m2,w_per_m2,mj_per_m2,mm,deg_c,deg_c,deg_c,deg_c,deg_c,deg_c,deg,m_per_sec,m_per_sec,m_per_sec,,
2023-06-12T00:00:00,97.6,20.64,146.3618,662.7195,12.64551,0,11.25,21.43,4.019,2.853,7.629,-2.566,151.5,0.868,4.95,0,-28.864360,29.395070
2023-06-13T00:00:00,76.34,33.03,101.52,715.1243,8.771023,0,11.71,19.75,3.722,2.163,8.94,-2.211,177.3,1.292,7.27,0,-28.864360,29.395070
2023-06-14T00:00:00,87.8,28.22,143.6691,637.6583,12.41186,0,11.22,19.61,2.099,1.544,5.089,-0.518,170.1,1.182,4.85,0.01,-28.864360,29.395070
2023-06-15T00:00:00,68.22,11.55,145.6666,650.5106,12.58487,0,14.62,24.78,6.775,-0.535,3.784,-8.77,214.4,1.883,13.13,0.01,-28.864360,29.395070
2023-06-16T00:00:00,67.67,21.06,143.8885,643.9313,12.43196,0,15.05,24.99,5.095,0.89,5.303,-1.87,244.8,2.776,17,0.01,-28.864360,29.395070
2023-06-17T00:00:00,88.3,25.88,139.1659,637.9187,12.02379,0,12.93,19.24,6.633,4.071,8.45,-3.883,115.3,1.326,8.54,0.01,-28.864360,29.395070
2023-06-18T00:00:00,95.7,12.95,148.4333,654.1718,12.82449,0,13.88,26.38,2.619,0.829,8.19,-5.138,260.4,1.366,9.25,0.01,-28.864360,29.395070
2023-06-19T00:00:00,65.6,15.03,143.5813,652.3871,12.40513,0,14.38,24.4,6.588,-1.095,3.262,-4.912,130.3,1.058,5.78,0.01,-28.864360,29.395070
2023-06-20T00:00:00,88.7,7.566,136.315,603.2911,11.77734,0,15.2,25.76,3.794,-2.561,6.444,-16.82,325.7,2.064,12.54,0,-28.864360,29.395070
2023-06-21T00:00:00,90.8,10.34,142.839,638.1868,12.33958,0,12.74,18.56,4.951,-0.18,7.831,-14.39,124.8,1.478,7.08,0.01,-28.864360,29.395070
