"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)"
1,20/08/14 10:52:27 AM,0.000,,,,
2,20/08/14 10:52:46 AM,,Logged,,,
3,20/08/14 10:53:10 AM,0.254,,,,
4,20/08/16 05:53:34 PM,0.508,,,,
5,20/08/16 05:59:16 PM,0.762,,,,
6,20/08/16 06:03:43 PM,1.016,,,,
7,20/08/16 06:04:16 PM,1.270,,,,
8,20/08/16 06:04:57 PM,1.524,,,,
9,20/08/16 06:05:57 PM,1.778,,,,
10,20/08/16 06:06:48 PM,2.032,,,,
11,20/08/16 06:44:06 PM,2.286,,,,
12,20/08/16 07:22:35 PM,2.540,,,,
13,20/08/16 07:33:42 PM,2.794,,,,
14,20/08/16 10:20:15 PM,3.048,,,,
15,20/08/16 10:54:16 PM,3.302,,,,
16,20/08/18 07:54:19 PM,3.556,,,,
17,20/08/18 08:14:22 PM,3.810,,,,
18,20/08/18 08:47:34 PM,4.064,,,,
19,20/08/18 08:49:43 PM,4.318,,,,
20,20/08/18 08:51:23 PM,4.572,,,,
21,20/08/18 08:52:56 PM,4.826,,,,
22,20/08/18 08:54:07 PM,5.080,,,,
23,20/08/18 08:55:40 PM,5.334,,,,
24,20/08/18 08:58:51 PM,5.588,,,,
25,20/08/18 09:01:57 PM,5.842,,,,
26,20/08/18 09:09:15 PM,6.096,,,,
27,20/08/18 09:29:04 PM,6.350,,,,
28,20/08/18 09:31:24 PM,6.604,,,,
29,20/08/18 09:34:23 PM,6.858,,,,
30,20/08/18 09:36:49 PM,7.112,,,,
31,20/08/18 09:39:10 PM,7.366,,,,
32,20/08/18 09:42:08 PM,7.620,,,,
33,20/08/21 04:28:13 PM,7.874,,,,
34,20/08/21 04:42:56 PM,8.128,,,,
35,20/08/30 10:42:02 AM,8.382,,,,
36,20/08/30 10:59:41 AM,8.636,,,,
37,20/08/30 11:14:07 AM,8.890,,,,
38,20/08/31 12:51:47 AM,9.144,,,,
39,20/09/08 03:40:07 PM,,,Logged,,
40,20/09/08 03:40:16 PM,,,,Logged,
41,20/09/08 03:41:03 PM,,Logged,,,
42,20/09/15 06:19:35 PM,9.398,,,,
43,20/09/15 06:24:03 PM,9.652,,,,
44,20/09/15 06:56:16 PM,9.906,,,,
45,20/09/15 07:00:54 PM,10.160,,,,
46,20/09/15 07:04:27 PM,10.414,,,,
47,20/09/15 07:09:01 PM,10.668,,,,
48,20/09/15 07:21:19 PM,10.922,,,,
49,20/09/15 07:29:42 PM,11.176,,,,
50,20/09/15 07:46:48 PM,11.430,,,,
51,20/09/15 08:25:55 PM,11.684,,,,
52,20/09/15 10:42:17 PM,11.938,,,,
53,20/09/15 11:13:55 PM,12.192,,,,
54,20/09/15 11:30:46 PM,12.446,,,,
55,20/09/16 12:12:06 AM,12.700,,,,
56,20/09/16 12:20:36 AM,12.954,,,,
57,20/09/16 12:31:28 AM,13.208,,,,
58,20/09/16 11:10:36 AM,13.462,,,,
59,20/09/16 06:29:41 PM,13.716,,,,
60,20/09/21 12:55:24 PM,13.970,,,,
61,20/09/21 03:38:05 PM,14.224,,,,
62,20/09/21 04:03:20 PM,14.478,,,,
63,20/09/21 05:27:20 PM,14.732,,,,
64,20/09/21 05:34:31 PM,14.986,,,,
65,20/09/21 05:52:17 PM,15.240,,,,
66,20/09/21 06:37:06 PM,15.494,,,,
67,20/09/21 07:43:46 PM,15.748,,,,
68,20/09/21 07:53:58 PM,16.002,,,,
69,20/09/21 08:02:51 PM,16.256,,,,
70,20/09/22 09:02:46 AM,16.510,,,,
71,20/09/27 01:40:14 AM,16.764,,,,
72,20/09/27 01:42:34 AM,17.018,,,,
73,20/09/27 01:46:35 AM,17.272,,,,
74,20/09/27 03:49:58 AM,17.526,,,,
75,20/09/27 04:13:47 AM,17.780,,,,
76,20/09/27 04:31:49 AM,18.034,,,,
77,20/09/27 04:36:26 AM,18.288,,,,
78,20/09/27 04:38:09 AM,18.542,,,,
79,20/09/27 04:39:30 AM,18.796,,,,
80,20/09/27 04:40:14 AM,19.050,,,,
81,20/09/27 04:41:36 AM,19.304,,,,
82,20/09/27 04:44:29 AM,19.558,,,,
83,20/09/27 04:46:08 AM,19.812,,,,
84,20/09/27 05:38:03 AM,20.066,,,,
85,20/09/27 05:46:27 AM,20.320,,,,
86,20/09/27 05:51:23 AM,20.574,,,,
87,20/09/27 06:06:17 AM,20.828,,,,
88,20/09/27 06:26:15 AM,21.082,,,,
89,20/09/27 06:29:20 AM,21.336,,,,
90,20/09/27 06:33:53 AM,21.590,,,,
91,20/09/27 06:37:24 AM,21.844,,,,
92,20/09/27 06:38:20 AM,22.098,,,,
93,20/09/27 06:39:11 AM,22.352,,,,
94,20/09/27 06:41:28 AM,22.606,,,,
95,20/09/27 06:46:40 AM,22.860,,,,
96,20/09/27 06:48:55 AM,23.114,,,,
97,20/09/27 06:50:15 AM,23.368,,,,
98,20/09/27 06:51:19 AM,23.622,,,,
99,20/09/27 06:52:32 AM,23.876,,,,
100,20/09/27 06:53:29 AM,24.130,,,,
101,20/09/27 06:54:39 AM,24.384,,,,
102,20/09/27 06:55:56 AM,24.638,,,,
103,20/09/27 06:57:20 AM,24.892,,,,
104,20/09/27 06:58:49 AM,25.146,,,,
105,20/09/27 07:00:49 AM,25.400,,,,
106,20/09/27 07:03:01 AM,25.654,,,,
107,20/09/27 07:06:21 AM,25.908,,,,
108,20/09/27 07:08:47 AM,26.162,,,,
109,20/09/27 07:09:31 AM,26.416,,,,
110,20/09/27 07:10:41 AM,26.670,,,,
111,20/09/27 07:13:11 AM,26.924,,,,
112,20/09/27 07:14:42 AM,27.178,,,,
113,20/09/27 07:17:00 AM,27.432,,,,
114,20/09/27 07:19:07 AM,27.686,,,,
115,20/09/27 07:23:00 AM,27.940,,,,
116,20/09/27 07:27:22 AM,28.194,,,,
117,20/09/27 07:31:07 AM,28.448,,,,
118,20/09/27 07:34:12 AM,28.702,,,,
119,20/09/27 07:36:52 AM,28.956,,,,
120,20/09/27 07:40:19 AM,29.210,,,,
121,20/09/27 07:43:52 AM,29.464,,,,
122,20/09/27 07:51:23 AM,29.718,,,,
123,20/09/27 08:12:51 AM,29.972,,,,
124,20/09/27 08:18:38 AM,30.226,,,,
125,20/09/27 08:28:35 AM,30.480,,,,
126,20/09/27 09:27:53 AM,30.734,,,,
127,20/09/27 09:31:02 AM,30.988,,,,
128,20/09/27 09:32:37 AM,31.242,,,,
129,20/09/27 09:33:26 AM,31.496,,,,
130,20/09/27 09:35:56 AM,31.750,,,,
131,20/09/27 09:50:20 AM,32.004,,,,
132,20/09/27 10:15:54 AM,32.258,,,,
133,20/09/27 10:25:37 AM,32.512,,,,
134,20/09/27 10:33:04 AM,32.766,,,,
135,20/09/27 10:36:15 AM,33.020,,,,
136,20/09/27 10:40:12 AM,33.274,,,,
137,20/09/27 10:54:25 AM,33.528,,,,
138,20/09/27 02:06:24 PM,33.782,,,,
139,20/09/27 11:43:35 PM,34.036,,,,
140,20/09/27 11:47:12 PM,34.290,,,,
141,20/09/27 11:52:37 PM,34.544,,,,
142,20/09/28 12:21:48 AM,34.798,,,,
143,20/09/28 02:49:23 AM,35.052,,,,
144,20/09/28 03:02:58 AM,35.306,,,,
145,20/09/28 03:44:51 AM,35.560,,,,
146,20/09/28 03:58:13 AM,35.814,,,,
147,20/09/28 04:04:32 AM,36.068,,,,
148,20/09/28 04:08:11 AM,36.322,,,,
149,20/09/28 04:21:51 AM,36.576,,,,
150,20/09/28 04:43:05 AM,36.830,,,,
151,20/09/28 04:56:00 AM,37.084,,,,
152,20/09/28 05:20:10 AM,37.338,,,,
153,20/09/28 04:00:40 PM,37.592,,,,
154,20/09/28 04:06:00 PM,37.846,,,,
155,20/09/28 04:06:47 PM,38.100,,,,
156,20/09/28 04:07:22 PM,38.354,,,,
157,20/09/28 04:07:50 PM,38.608,,,,
158,20/09/28 04:08:16 PM,38.862,,,,
159,20/09/28 04:09:03 PM,39.116,,,,
160,20/09/28 04:10:09 PM,39.370,,,,
161,20/09/28 04:11:25 PM,39.624,,,,
162,20/09/28 04:12:19 PM,39.878,,,,
163,20/09/28 04:13:59 PM,40.132,,,,
164,20/09/28 04:18:03 PM,40.386,,,,
165,20/09/28 04:20:25 PM,40.640,,,,
166,20/09/28 04:21:15 PM,40.894,,,,
167,20/09/28 04:22:07 PM,41.148,,,,
168,20/09/28 04:23:17 PM,41.402,,,,
169,20/09/28 04:25:50 PM,41.656,,,,
170,20/09/28 04:34:42 PM,41.910,,,,
171,20/09/28 08:33:24 PM,42.164,,,,
172,20/09/29 04:33:24 AM,42.418,,,,
