"Plot Title: Manz. Office"
"#","Date Time, GMT+02:00","Rainfall, mm (LGR S/N: 20112199, SEN S/N: 20112199)","Coupler Detached (LGR S/N: 20112199)","Coupler Attached (LGR S/N: 20112199)","Host Connected (LGR S/N: 20112199)","End Of File (LGR S/N: 20112199)"
1,20/08/14 10:52:27 AM,0.000,,,,
2,20/08/14 10:52:46 AM,,Logged,,,
3,20/08/14 10:53:10 AM,0.254,,,,
4,20/08/16 05:53:34 PM,0.508,,,,
5,20/08/16 05:59:16 PM,0.762,,,,
6,20/08/16 06:03:43 PM,1.016,,,,
7,20/08/16 06:04:16 PM,1.270,,,,
8,20/08/16 06:04:57 PM,1.524,,,,
9,20/08/16 06:05:57 PM,1.778,,,,
10,20/08/16 06:06:48 PM,2.032,,,,
11,20/08/16 06:44:06 PM,2.286,,,,
12,20/08/16 07:22:35 PM,2.540,,,,
13,20/08/16 07:33:42 PM,2.794,,,,
14,20/08/16 10:20:15 PM,3.048,,,,
15,20/08/16 10:54:16 PM,3.302,,,,
16,20/08/18 07:54:19 PM,3.556,,,,
17,20/08/18 08:14:22 PM,3.810,,,,
18,20/08/18 08:47:34 PM,4.064,,,,
19,20/08/18 08:49:43 PM,4.318,,,,
20,20/08/18 08:51:23 PM,4.572,,,,
21,20/08/18 08:52:56 PM,4.826,,,,
22,20/08/18 08:54:07 PM,5.080,,,,
23,20/08/18 08:55:40 PM,5.334,,,,
24,20/08/18 08:58:51 PM,5.588,,,,
25,20/08/18 09:01:57 PM,5.842,,,,
26,20/08/18 09:09:15 PM,6.096,,,,
27,20/08/18 09:29:04 PM,6.350,,,,
28,20/08/18 09:31:24 PM,6.604,,,,
29,20/08/18 09:34:23 PM,6.858,,,,
30,20/08/18 09:36:49 PM,7.112,,,,
31,20/08/18 09:39:10 PM,7.366,,,,
32,20/08/18 09:42:08 PM,7.620,,,,
33,20/08/21 04:28:13 PM,7.874,,,,
34,20/08/21 04:42:56 PM,8.128,,,,
35,20/08/30 10:42:02 AM,8.382,,,,
36,20/08/30 10:59:41 AM,8.636,,,,
37,20/08/30 11:14:07 AM,8.890,,,,
38,20/08/31 12:51:47 AM,9.144,,,,
39,20/09/08 03:40:07 PM,,,Logged,,
40,20/09/08 03:40:16 PM,,,,Logged,
41,20/09/08 03:40:26 PM,9.144,,,,Logged
